Year,Inflation,US Stock Market,US Large Cap,US Large Cap Value,US Large Cap Growth,US Mid Cap,US Mid Cap Value,US Mid Cap Growth,US Small Cap,US Small Cap Value,US Small Cap Growth,US Micro Cap,Global ex-US Stock Market,Intl Developed ex-US Market,International ex-US Small Cap,International ex-US Value,European Stocks,Pacific Stocks,Emerging Markets,Cash,Short Term Treasury,Intermediate Term Treasury,10-year Treasury,Long Term Treasury,Total US Bond Market,TIPS,Global Bonds (Unhedged),Global Bonds (USD Hedged),Short-Term Investment Grade,Corporate Bonds,Long-Term Corporate Bonds,High Yield Corporate Bonds,Short-Term Tax-Exempt,Intermediate-Term Tax-Exempt,Long-Term Tax-Exempt,REIT,Gold,Precious Metals,Commodities
1990,0.0611,-0.0608,-0.0332,-0.0702,0.0154,-0.1073,-0.1675,-0.04019999999999999,-0.1813,-0.1905,-0.1426,-0.21559999999999999,-0.24789999999999998,-0.24789999999999998,,,-0.0387,-0.3387,,0.0789,0.0992,0.0946,0.077,0.057800000000000004,0.08650000000000001,,,,0.09230000000000001,,0.0621,-0.058499999999999996,0.06570000000000001,0.07200000000000001,0.050199999999999995,,-0.0311,-0.1986,
1991,0.030600000000000002,0.3239,0.30219999999999997,0.2378,0.4461,0.4044,0.4156,0.3935,0.4526,0.4296,0.49219999999999997,0.4426,0.09480000000000001,0.09480000000000001,,,0.124,0.10779999999999999,,0.0571,0.1149,0.1597,0.1891,0.1743,0.1525,,,,0.1308,,0.209,0.2901,0.07200000000000001,0.1216,0.11470000000000001,,-0.08560000000000001,0.0437,
1992,0.028999999999999998,0.0911,0.0742,0.1548,0.0661,0.1519,0.195,0.1079,0.182,0.2823,0.1018,0.2348,-0.1479,-0.1479,,,-0.0332,-0.18170000000000003,,0.035699999999999996,0.0675,0.07780000000000001,0.0723,0.0741,0.07139999999999999,,0.0084,,0.0719,,0.0978,0.1424,0.0471,0.0886,0.09300000000000001,,-0.057300000000000004,-0.1941,
1993,0.0275,0.10619999999999999,0.0989,0.1826,0.015300000000000001,0.162,0.1718,0.1507,0.187,0.21100000000000002,0.1125,0.2097,0.2992,0.2992,,,0.2913,0.3546,,0.0305,0.06309999999999999,0.1143,0.1297,0.1678,0.0968,,0.1461,,0.0707,,0.1449,0.18239999999999998,0.0382,0.1155,0.13449999999999998,,0.17679999999999998,0.9336,
1994,0.026699999999999998,-0.0017000000000000001,0.0118,-0.0063,0.028900000000000002,-0.0172,-0.030299999999999997,-0.006,-0.0051,-0.0007000000000000001,-0.0363,0.030899999999999997,0.09759999999999999,0.09759999999999999,,,0.018799999999999997,0.1304,,0.042,-0.0048,-0.0433,-0.0719,-0.0704,-0.026600000000000002,,-0.0872,,-0.0008,,-0.053,-0.0171,0.0163,-0.0212,-0.0576,-0.084,-0.0217,-0.0542,
1995,0.0254,0.3579,0.37450000000000006,0.3704,0.38060000000000005,0.3322,0.33380000000000004,0.32909999999999995,0.2874,0.3032,0.3007,0.3448,0.0398,0.0398,0.0116,0.1153,0.2228,0.0275,0.005600000000000001,0.0571,0.1211,0.20440000000000003,0.2555,0.3009,0.1818,,0.2391,,0.1274,,0.264,0.19149999999999998,0.0599,0.1364,0.18719999999999998,0.1213,0.0098,-0.044800000000000006,
1996,0.0332,0.2096,0.2288,0.218,0.23739999999999997,0.18969999999999998,0.20149999999999998,0.1748,0.1812,0.2141,0.1024,0.1765,0.046799999999999994,0.046799999999999994,0.0095,0.0781,0.2125,-0.0782,0.1583,0.051699999999999996,0.043899999999999995,0.0192,-0.0,-0.0126,0.0358,,0.1502,,0.0479,,0.012,0.0955,0.0369,0.042,0.044199999999999996,0.33840000000000003,-0.045899999999999996,-0.0075,
1997,0.017,0.3099,0.3319,0.2978,0.36340000000000006,0.2566,0.3508,0.1775,0.2459,0.3544,0.1437,0.2278,-0.0077,-0.0139,-0.22719999999999999,-0.031400000000000004,0.24230000000000002,-0.25670000000000004,-0.16820000000000002,0.052199999999999996,0.06509999999999999,0.08960000000000001,0.1197,0.139,0.0944,,0.0231,,0.0695,,0.1378,0.1191,0.0407,0.0706,0.0929,0.1877,-0.2141,-0.3892,
1998,0.0161,0.23260000000000003,0.2862,0.1463,0.42210000000000003,0.099,0.036699999999999997,0.1727,-0.026099999999999998,-0.0268,0.0352,-0.0181,0.156,0.16510000000000002,0.0527,0.1487,0.28859999999999997,0.0241,-0.1812,0.049699999999999994,0.0736,0.1061,0.1464,0.1305,0.0858,,0.1059,,0.06570000000000001,,0.09210000000000002,0.0562,0.0432,0.0576,0.0602,-0.1632,-0.0083,-0.0391,
1999,0.0268,0.23809999999999998,0.2107,0.1258,0.2876,0.1532,0.031200000000000002,0.4299,0.23129999999999998,0.0335,0.198,0.31489999999999996,0.2992,0.3796,0.19039999999999999,0.163,0.1666,0.5705,0.6157,0.04769999999999999,0.018500000000000003,-0.0352,-0.0783,-0.0866,-0.0076,,0.0382,0.0029,0.0331,,-0.0623,0.024900000000000002,0.0258,-0.005,-0.0353,-0.0404,0.0085,0.2882,
